"","GAIa","GAIb","GAIIa","GAIIb","GAIII"
"P3Hs68",0.46589259796807,0.322206095791001,0.656716417910448,0.478494623655914,0.113207547169811
"P3Hs21",0.449927431059507,0.343976777939042,0.634328358208955,0.483870967741935,0.0928882438316401
"P3Hs27",0.4644412191582,0.313497822931785,0.638059701492537,0.435483870967742,0.120464441219158
"P3Hs120",0.455732946298984,0.339622641509434,0.630597014925373,0.5,0.104499274310595
"P4Hs187",0.432510885341074,0.283018867924528,0.447761194029851,0.258064516129032,0.145137880986938
"P4Hs168",0.383164005805515,0.30188679245283,0.444029850746269,0.32258064516129,0.168359941944848
"P4Hs173",0.39477503628447,0.323657474600871,0.395522388059701,0.306451612903226,0.177068214804064
"P4Hs188",0.352685050798258,0.309143686502177,0.41044776119403,0.274193548387097,0.179970972423803
"P4Hs37",0.375907111756168,0.296081277213353,0.41044776119403,0.274193548387097,0.188679245283019
"P4Hs48",0.386066763425254,0.297532656023222,0.388059701492537,0.274193548387097,0.169811320754717
"P4Hs82",0.404934687953556,0.319303338171263,0.440298507462687,0.301075268817204,0.158200290275762
"P4Hs98",0.386066763425254,0.316400580551524,0.395522388059701,0.301075268817204,0.18577648766328
"P4Hs184",0.352685050798258,0.304789550072569,0.41044776119403,0.317204301075269,0.177068214804064
"P4Hs63",0.387518142235123,0.3033381712627,0.440298507462687,0.311827956989247,0.177068214804064
"P4Hs35",0.354136429608128,0.313497822931785,0.391791044776119,0.290322580645161,0.181422351233672
"Ct47",0.309143686502177,0.336719883889695,0.309701492537313,0.39247311827957,0.184325108853411
"Ct40",0.3033381712627,0.320754716981132,0.313432835820896,0.32258064516129,0.197387518142235
"Ct132",0.293178519593614,0.309143686502177,0.313432835820896,0.338709677419355,0.188679245283019
"Ct177",0.294629898403483,0.339622641509434,0.283582089552239,0.338709677419355,0.188679245283019
"Ct38",0.328011611030479,0.32656023222061,0.317164179104478,0.32258064516129,0.198838896952104
"Ct98",0.283018867924528,0.319303338171263,0.26865671641791,0.317204301075269,0.201741654571843
"Ct72",0.28011611030479,0.319303338171263,0.257462686567164,0.258064516129032,0.203193033381713
"Ct110",0.297532656023222,0.309143686502177,0.294776119402985,0.338709677419355,0.201741654571843
"Ct161",0.294629898403483,0.3033381712627,0.309701492537313,0.317204301075269,0.198838896952104
"Ct96",0.298984034833091,0.345428156748911,0.26865671641791,0.370967741935484,0.197387518142235
"Ct111",0.277213352685051,0.297532656023222,0.287313432835821,0.327956989247312,0.226415094339623
"187",0.400580551523948,0.435413642960813,0.488805970149254,0.602150537634409,0.058055152394775
"13",0.432510885341074,0.407837445573295,0.559701492537313,0.60752688172043,0.0638606676342525
"39",0.386066763425254,0.436865021770682,0.514925373134328,0.56989247311828,0.0624092888243832
"14",0.439767779390421,0.438316400580552,0.563432835820896,0.650537634408602,0.0624092888243832
"122",0.447024673439768,0.413642960812772,0.57089552238806,0.602150537634409,0.0595065312046444
"100",0.416545718432511,0.428156748911466,0.51865671641791,0.580645161290323,0.0667634252539913
"116",0.413642960812772,0.409288824383164,0.503731343283582,0.596774193548387,0.0493468795355588
"168",0.39622641509434,0.407837445573295,0.514925373134328,0.575268817204301,0.058055152394775
"80",0.433962264150943,0.406386066763425,0.526119402985075,0.580645161290323,0.0537010159651669
"165",0.433962264150943,0.406386066763425,0.541044776119403,0.580645161290323,0.0624092888243832
"125",0.412191582002903,0.410740203193033,0.522388059701492,0.553763440860215,0.0667634252539913
"79",0.420899854862119,0.410740203193033,0.537313432835821,0.575268817204301,0.0609579100145138
"156",0.393323657474601,0.435413642960813,0.533582089552239,0.650537634408602,0.0566037735849057
"176",0.415094339622642,0.422351233671988,0.57089552238806,0.655913978494624,0.0449927431059507
"38",0.426705370101597,0.416545718432511,0.526119402985075,0.580645161290323,0.0551523947750363
"45",0.406386066763425,0.420899854862119,0.522388059701492,0.559139784946237,0.0638606676342525
"164",0.403483309143687,0.416545718432511,0.522388059701492,0.591397849462366,0.0522496371552975
"131",0.412191582002903,0.420899854862119,0.514925373134328,0.612903225806452,0.0667634252539913
"71",0.433962264150943,0.407837445573295,0.514925373134328,0.564516129032258,0.0551523947750363
"132",0.431059506531205,0.402031930333817,0.522388059701492,0.564516129032258,0.0566037735849057
"28",0.436865021770682,0.400580551523948,0.488805970149254,0.526881720430108,0.0507982583454282
"40",0.407837445573295,0.426705370101597,0.522388059701492,0.618279569892473,0.0638606676342525
"161",0.416545718432511,0.422351233671988,0.507462686567164,0.612903225806452,0.0551523947750363
"118",0.400580551523948,0.41799709724238,0.522388059701492,0.618279569892473,0.0711175616835994
"29",0.413642960812772,0.435413642960813,0.537313432835821,0.645161290322581,0.058055152394775
"6",0.400580551523948,0.426705370101597,0.537313432835821,0.591397849462366,0.0566037735849057
"173",0.433962264150943,0.409288824383164,0.526119402985075,0.580645161290323,0.0566037735849057
"69",0.388969521044993,0.41944847605225,0.492537313432836,0.580645161290323,0.0653120464441219
"22",0.397677793904209,0.435413642960813,0.511194029850746,0.612903225806452,0.0566037735849057
"47",0.410740203193033,0.415094339622642,0.5,0.575268817204301,0.0769230769230769
"15",0.429608127721335,0.415094339622642,0.5,0.537634408602151,0.058055152394775
